command,mean,stddev,median,user,system,min,max
01-passthrough-tsv,0.66335433384,0.01682146201750171,0.66601856204,0.5140556199999999,0.14985426,0.64621943104,0.68657031004
02-passthrough-json,1.32866054724,0.03433318243449869,1.32225606504,1.01681782,0.31346366,1.2809032550400001,1.36213361704
03-line-filter-tsv,1.9981326990400003,0.022830074964112598,1.99742874204,1.84471542,0.15384405999999998,1.97727274404,2.03358676504
04-line-filter-json,4.60715976144,0.1819041054682861,4.61132453404,4.05177522,0.55677266,4.35345054604,4.788800295040001
05-at-column-filter-tsv,1.7714589674400003,0.00904163024753627,1.77316088004,1.56909762,0.20349725999999996,1.75959619604,1.78390190004
06-at-column-filter-json,9.176219561439998,0.12270907337465913,9.21773630004,8.385497619999999,0.77066646,8.969152809039999,9.293088575039999
07-atat-column-filter-tsv,2.11805135724,0.023085245503879803,2.12826743904,1.92706882,0.19230966,2.08036520804,2.13831083404
08-atat-column-filter-json,9.328013240239999,0.24676947367829533,9.414504064039999,8.55142022,0.77987606,8.905050726039999,9.53294901204
09-mutator-tsv,6.018914668906667,0.1338733140062458,6.08180925124,5.800859113333334,0.21936123333333332,5.86517564524,6.10975911024
10-mutator-json,22.98265302388667,0.3160655408217702,22.84062220122,22.511812719999998,0.4732879266666667,22.76251922922,23.34481764122
11-mutator-filter-tsv,3.8698376845533335,0.06932762152645182,3.8913622022200003,3.6719947199999994,0.19787892666666665,3.79230087622,3.9258499752200002
12-mutator-filter-json,18.705930759886666,0.1697635546411535,18.78274739422,18.00068872,0.70838526,18.51133643822,18.82370844722
13-format-zeek-to-json,24.628451007886667,0.15874012321473524,24.56034414322,24.373273386666668,0.25756992666666667,24.515129008219997,24.809879872219998
14-format-json-to-zeek,9.503400084219999,0.2628510924230409,9.58666781522,8.847611053333331,0.65929826,9.20900039722,9.71453204022

